fdc_id,food_name,data_type,food_category,calories,carbs_g,calcium_mg,fat_g,protein_g,saturated_fat_g,fiber_g,iron_mg,sodium_mg,sugar_g,cholesterol_mg,health_score,food_type,food_display_name,preparation_method,food_label,food_group_clean
169716,Sorghum grain,SR Legacy,Cereal Grains and Pasta,329.0,72.1,13.0,3.46,10.6,0.61,6.7,3.36,2.0,2.53,0.0,70,Grains,Sorghum grain,unspecified,Sorghum grain,Grains
169739,Barley flour or meal,SR Legacy,Cereal Grains and Pasta,345.0,74.5,32.0,1.6,10.5,0.335,10.1,2.68,4.0,0.8,0.0,70,Grains,Barley flour or meal,unspecified,Barley flour or meal,Grains
171367,"Babyfood, oatmeal cereal with fruit, dry, instant, toddler fortified",SR Legacy,Baby Foods,402.0,74.1,286.0,7.05,10.5,1.57,7.8,14.3,0.0,11.1,0.0,70,Fruits,"Babyfood, oatmeal cereal with fruit, instant, toddler fortified",dry,"Babyfood, oatmeal cereal with fruit, instant, toddler fortified (dry)",Fruits
168891,"Wheat, soft red winter",SR Legacy,Cereal Grains and Pasta,331.0,74.2,27.0,1.56,10.4,0.289,12.5,3.21,2.0,0.41,0.0,70,Grains,"Wheat, soft red winter",unspecified,"Wheat, soft red winter",Grains
172676,"Bread, oat bran",SR Legacy,Baked Products,236.0,39.8,65.0,4.4,10.4,0.697,4.5,3.12,353.0,7.7,0.0,70,Grains,"Bread, oat bran",unspecified,"Bread, oat bran",Grains
168884,Rye grain,SR Legacy,Cereal Grains and Pasta,338.0,75.9,24.0,1.63,10.3,0.197,15.1,2.63,2.0,0.98,0.0,70,Grains,Rye grain,unspecified,Rye grain,Grains
169740,Barley malt flour,SR Legacy,Cereal Grains and Pasta,361.0,78.3,37.0,1.84,10.3,0.386,7.1,4.71,11.0,0.8,0.0,70,Grains,Barley malt flour,unspecified,Barley malt flour,Grains
174077,"Bread, naan, whole wheat, commercially prepared, refrigerated",SR Legacy,Baked Products,286.0,46.2,59.0,6.7,10.2,2.91,4.8,1.73,467.0,3.4,1.0,70,Grains,"Bread, naan, whole wheat, refrigerated",commercially prepared,"Bread, naan, whole wheat, refrigerated (commercially prepared)",Grains
2710841,"Sorghum grain, white, pearled, unenriched, dry, raw",Foundation,Cereal Grains and Pasta,338.0,74.9,7.45,3.26,10.2,0.0,3.92,2.04,0.0,3.2,0.0,70,Grains,"Sorghum grain, white, pearled","unenriched, dry, raw","Sorghum grain, white, pearled (unenriched, dry, raw)",Grains
2710840,"Sorghum flour, white, pearled, unenriched, dry, raw",Foundation,Cereal Grains and Pasta,350.0,73.5,7.89,3.24,10.2,0.0,3.3,2.22,0.0,3.2,0.0,70,Grains,"Sorghum flour, white, pearled","unenriched, dry, raw","Sorghum flour, white, pearled (unenriched, dry, raw)",Grains
2710842,"Sorghum, whole grain, white, dry, raw",Foundation,Cereal Grains and Pasta,341.0,73.6,14.9,4.22,10.1,0.0,8.27,3.9,0.329,3.2,0.0,70,Grains,"Sorghum, whole grain, white","dry, raw","Sorghum, whole grain, white (dry, raw)",Grains
174239,"Fish, roe, mixed species, cooked, dry heat",SR Legacy,Finfish and Shellfish Products,204.0,1.92,28.0,8.23,28.6,1.87,0.0,0.77,117.0,0.0,479.0,65,Seafood,"Fish, roe, mixed species","cooked, dry heat","Fish, roe, mixed species (cooked, dry heat)",Seafood
171455,"Chicken, broilers or fryers, giblets, cooked, simmered",SR Legacy,Poultry Products,157.0,0.0,14.0,4.5,27.2,1.32,0.0,7.04,67.0,0.0,442.0,65,Meat & Poultry,"Chicken, broilers or fryers, giblets","cooked, simmered","Chicken, broilers or fryers, giblets (cooked, simmered)",Meat & Poultry
174465,"Chicken, capons, giblets, raw",SR Legacy,Poultry Products,130.0,1.42,10.0,5.18,18.3,1.64,0.0,6.25,77.0,0.0,292.0,65,Meat & Poultry,"Chicken, capons, giblets",raw,"Chicken, capons, giblets (raw)",Meat & Poultry
172396,"Chicken, roasting, giblets, raw",SR Legacy,Poultry Products,127.0,1.14,10.0,5.04,18.1,1.54,0.0,5.4,77.0,0.0,236.0,65,Meat & Poultry,"Chicken, roasting, giblets",raw,"Chicken, roasting, giblets (raw)",Meat & Poultry
173641,"Chicken, stewing, giblets, raw",SR Legacy,Poultry Products,168.0,2.13,10.0,9.21,17.9,2.63,0.0,5.93,77.0,0.0,240.0,65,Meat & Poultry,"Chicken, stewing, giblets",raw,"Chicken, stewing, giblets (raw)",Meat & Poultry
171057,"Chicken, broilers or fryers, giblets, raw",SR Legacy,Poultry Products,124.0,1.8,10.0,4.47,17.9,1.36,0.0,5.86,77.0,0.0,262.0,65,Meat & Poultry,"Chicken, broilers or fryers, giblets",raw,"Chicken, broilers or fryers, giblets (raw)",Meat & Poultry
167643,"Fish, whitefish, eggs (Alaska Native)",SR Legacy,American Indian/Alaska Native Foods,104.0,4.89,46.0,2.88,14.7,0.496,0.0,5.95,160.0,0.0,439.0,65,Seafood,"Fish, whitefish, eggs (Alaska Native)",unspecified,"Fish, whitefish, eggs (Alaska Native)",Seafood
169284,"Soybeans, mature seeds, sprouted, raw",SR Legacy,Vegetables and Vegetable Products,122.0,9.57,67.0,6.7,13.1,0.929,1.1,2.1,14.0,1.6,0.0,65,Vegetables,"Soybeans, mature seeds, sprouted",raw,"Soybeans, mature seeds, sprouted (raw)",Vegetables
168461,"Soybeans, mature seeds, sprouted, cooked, stir-fried",SR Legacy,Vegetables and Vegetable Products,125.0,9.4,82.0,7.1,13.1,0.985,0.8,0.4,14.0,1.6,0.0,65,Vegetables,"Soybeans, mature seeds, sprouted","cooked, stir-fried","Soybeans, mature seeds, sprouted (cooked, stir-fried)",Vegetables
169370,"Soybeans, mature seeds, sprouted, cooked, stir-fried, with salt",SR Legacy,Vegetables and Vegetable Products,125.0,9.4,82.0,7.1,13.1,0.114,0.8,0.4,250.0,1.6,0.0,65,Vegetables,"Soybeans, mature seeds, sprouted","cooked, stir-fried, with salt","Soybeans, mature seeds, sprouted (cooked, stir-fried, with salt)",Vegetables
172104,"Egg rolls, chicken, refrigerated, heated",SR Legacy,"Meals, Entrees, and Side Dishes",197.0,28.5,47.0,4.51,10.4,0.964,2.4,1.69,478.0,5.57,14.0,65,Meat & Poultry,"Egg rolls, chicken, refrigerated",heated,"Egg rolls, chicken, refrigerated (heated)",Meat & Poultry
173312,"McDONALD'S, Bacon Ranch Salad with Grilled Chicken",SR Legacy,Fast Foods,81.0,3.64,48.0,3.14,10.3,1.24,1.0,0.65,230.0,1.73,28.0,65,Meat & Poultry,McDONALD'S,Bacon Ranch Salad with Grilled Chicken,McDONALD'S (Bacon Ranch Salad with Grilled Chicken),Meat & Poultry
170553,"Seeds, breadnut tree seeds, dried",SR Legacy,Nut and Seed Products,367.0,79.4,94.0,1.68,8.62,0.454,14.9,4.6,53.0,3.2,0.0,65,Grains,"Seeds, breadnut tree seeds",dried,"Seeds, breadnut tree seeds (dried)",Grains
170025,"Pigeonpeas, immature seeds, raw",SR Legacy,Vegetables and Vegetable Products,136.0,23.9,42.0,1.64,7.2,0.354,5.1,1.6,5.0,3.0,0.0,65,Vegetables,"Pigeonpeas, immature seeds",raw,"Pigeonpeas, immature seeds (raw)",Vegetables
168396,"Lima beans, immature seeds, raw",SR Legacy,Vegetables and Vegetable Products,113.0,20.2,34.0,0.86,6.84,0.198,4.9,3.14,8.0,1.48,0.0,65,Vegetables,"Lima beans, immature seeds",raw,"Lima beans, immature seeds (raw)",Vegetables
169135,"Lima beans, immature seeds, cooked, boiled, drained, without salt",SR Legacy,Vegetables and Vegetable Products,123.0,23.6,32.0,0.32,6.81,0.073,5.4,2.45,17.0,1.63,0.0,65,Vegetables,"Lima beans, immature seeds","cooked, boiled, drained, without salt","Lima beans, immature seeds (cooked, boiled, drained, without salt)",Vegetables
169316,"Lima beans, immature seeds, cooked, boiled, drained, with salt",SR Legacy,Vegetables and Vegetable Products,123.0,23.6,32.0,0.32,6.81,0.073,5.3,2.45,253.0,1.63,0.0,65,Vegetables,"Lima beans, immature seeds","cooked, boiled, drained, with salt","Lima beans, immature seeds (cooked, boiled, drained, with salt)",Vegetables
169953,"Lima beans, immature seeds, frozen, fordhook, unprepared",SR Legacy,Vegetables and Vegetable Products,106.0,19.8,24.0,0.35,6.4,0.081,5.5,1.51,58.0,1.39,0.0,65,Vegetables,"Lima beans, immature seeds, fordhook","frozen, unprepared","Lima beans, immature seeds, fordhook (frozen, unprepared)",Vegetables
168498,"Lima beans, immature seeds, frozen, fordhook, cooked, boiled, drained, with salt",SR Legacy,Vegetables and Vegetable Products,429.0,19.3,30.0,0.34,6.07,0.077,5.3,1.82,289.0,1.34,0.0,65,Vegetables,"Lima beans, immature seeds, fordhook","frozen, cooked, boiled, drained, with salt","Lima beans, immature seeds, fordhook (frozen, cooked, boiled, drained, with salt)",Vegetables
169954,"Lima beans, immature seeds, frozen, fordhook, cooked, boiled, drained, without salt",SR Legacy,Vegetables and Vegetable Products,429.0,19.3,30.0,0.34,6.07,0.077,5.3,1.82,69.0,1.34,0.0,65,Vegetables,"Lima beans, immature seeds, fordhook","frozen, cooked, boiled, drained, without salt","Lima beans, immature seeds, fordhook (frozen, cooked, boiled, drained, without salt)",Vegetables
170517,"Pigeonpeas, immature seeds, cooked, boiled, drained, with salt",SR Legacy,Vegetables and Vegetable Products,111.0,19.5,41.0,1.36,5.96,0.365,4.2,1.57,240.0,2.48,0.0,65,Vegetables,"Pigeonpeas, immature seeds","cooked, boiled, drained, with salt","Pigeonpeas, immature seeds (cooked, boiled, drained, with salt)",Vegetables
